recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782899507716,982.48267,525.23517,10.645225,5.5064845,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782904510716,981.796,523.51746,10.601724,5.617844,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782909506716,977.67004,520.7527,10.334984,5.7985573,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782914506716,975.947,520.8582,10.222675,5.7925534,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782919506716,978.774,522.5348,10.405629,5.682806,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782924506716,976.4658,525.1619,10.25352,5.5139976,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782929521716,976.2696,525.6696,10.240399,5.481247,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782934506716,974.8177,523.6767,10.1471815,5.610802,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782939631716,972.78076,522.8128,10.015085,5.6676087,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782944631716,973.0292,522.1223,10.031731,5.712162,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782949631716,971.89734,520.7148,9.958955,5.8037343,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782954631716,973.7675,520.9149,10.080655,5.789917,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782959639716,973.5012,519.3327,10.064406,5.8923764,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782964631716,972.90173,518.6086,10.025857,5.939498,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782969630716,974.3506,519.27826,10.119785,5.895491,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782974630716,974.47534,518.1463,10.128719,5.968642,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782979630716,972.4462,518.56067,9.996206,5.9428177,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782984630716,969.4109,516.35126,9.799954,6.0871873,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782989630716,971.5486,517.2408,9.938648,6.0286183,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782994635716,972.7048,516.16125,10.014765,6.097883,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340782999630716,978.4884,499.34488,10.405403,7.181875,1.0,,
2ca60e8e-201b-49a1-b377-8c58744591b1,1777340783004630716,986.56384,494.26028,10.937017,7.50523,1.0,,
