recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380123443269,893.8366,735.1623,4.878797,-8.1127615,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380128448269,893.96783,737.66406,4.8885508,-8.275074,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380133560269,887.71454,736.05444,4.4780765,-8.172615,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380138560269,885.0226,736.4917,4.301858,-8.201807,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380143560269,878.111,740.99835,3.85056,-8.496338,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380148560269,881.58685,735.82904,4.0764413,-8.159774,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380153560269,875.8927,737.96533,3.7040114,-8.300004,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380158560269,876.96783,747.5461,3.7780917,-8.921681,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380163560269,877.6061,747.4107,3.8199196,-8.912713,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380168569269,877.1191,747.6456,3.7880569,-8.928102,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380173560269,875.61816,750.5105,3.690672,-9.114464,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380178560269,874.6076,749.9714,3.6241324,-9.079753,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380183570269,864.89124,753.41315,2.9874153,-9.30562,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380188560269,863.81146,753.5347,2.9165452,-9.313768,1.0,3,
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1777343380193559269,866.0409,753.187,3.0628412,-9.2906685,1.0,3,
