recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1,1777344526124631675,1777344526244759675,120.128,7.6183157,3768.9263,7700.734
08d815c7-b66b-4e0f-86eb-cdf22f889a32,2,1777344526379882675,1777344526419876675,39.994,8.079834,3090.2175,4384.633
08d815c7-b66b-4e0f-86eb-cdf22f889a32,3,1777344526760245675,1777344526810244675,49.999,11.939104,3699.4993,6216.236
08d815c7-b66b-4e0f-86eb-cdf22f889a32,4,1777344526900367675,1777344527035490675,135.123,2.5808687,1924.074,4002.3027
08d815c7-b66b-4e0f-86eb-cdf22f889a32,5,1777344527180612675,1777344527220612675,40.0,7.3557687,2876.7124,3988.8123
08d815c7-b66b-4e0f-86eb-cdf22f889a32,6,1777344527425858675,1777344527490866675,65.008,16.428097,3964.7134,6220.195
08d815c7-b66b-4e0f-86eb-cdf22f889a32,7,1777344527570980675,1777344527625979675,54.999,11.419538,3300.8564,5612.0356
08d815c7-b66b-4e0f-86eb-cdf22f889a32,8,1777344528036347675,1777344528156470675,120.123,18.99589,4558.28,8480.734
08d815c7-b66b-4e0f-86eb-cdf22f889a32,9,1777344528356717675,1777344528391716675,34.999,7.3798943,3249.342,4407.3315
08d815c7-b66b-4e0f-86eb-cdf22f889a32,10,1777344528686969675,1777344528872214675,185.245,11.1823845,2322.369,5598.0283
08d815c7-b66b-4e0f-86eb-cdf22f889a32,11,1777344529217451675,1777344529237577675,20.126,1.2356516,971.39734,1035.6785
08d815c7-b66b-4e0f-86eb-cdf22f889a32,12,1777344529427700675,1777344529462697675,34.997,6.18851,2517.8152,3562.2573
08d815c7-b66b-4e0f-86eb-cdf22f889a32,13,1777344529577820675,1777344529617819675,39.999,7.8806105,3043.8694,4365.474
08d815c7-b66b-4e0f-86eb-cdf22f889a32,14,1777344529763067675,1777344529798066675,34.999,4.247043,1912.2678,2423.3245
08d815c7-b66b-4e0f-86eb-cdf22f889a32,15,1777344529958195675,1777344530018187675,59.992,15.054351,3913.2363,7001.67
08d815c7-b66b-4e0f-86eb-cdf22f889a32,16,1777344530899047675,1777344531024169675,125.122,21.88977,4493.1113,8027.7476
08d815c7-b66b-4e0f-86eb-cdf22f889a32,17,1777344531239427675,1777344531259415675,19.988,1.2603973,1171.0908,1229.8582
08d815c7-b66b-4e0f-86eb-cdf22f889a32,18,1777344531559660675,1777344531694782675,135.122,27.946934,5654.7456,13016.734
08d815c7-b66b-4e0f-86eb-cdf22f889a32,19,1777344531940028675,1777344532000027675,59.999,24.631327,6697.67,10598.155
08d815c7-b66b-4e0f-86eb-cdf22f889a32,20,1777344532500518675,1777344532615641675,115.123,22.796484,3908.4983,8668.697
08d815c7-b66b-4e0f-86eb-cdf22f889a32,21,1777344532920886675,1777344532951010675,30.124,5.109642,2623.6729,3265.1555
08d815c7-b66b-4e0f-86eb-cdf22f889a32,22,1777344533221256675,1777344533281259675,60.003,21.42032,5670.826,9510.083
08d815c7-b66b-4e0f-86eb-cdf22f889a32,23,1777344533771746675,1777344533796745675,24.999,1.8274578,1195.4154,1479.2156
08d815c7-b66b-4e0f-86eb-cdf22f889a32,24,1777344533951867675,1777344534046991675,95.124,23.524494,5291.7114,10393.068
08d815c7-b66b-4e0f-86eb-cdf22f889a32,25,1777344534222112675,1777344534257237675,35.125,6.472274,2514.917,3422.391
08d815c7-b66b-4e0f-86eb-cdf22f889a32,26,1777344534407359675,1777344534462358675,54.999,15.046738,4218.396,7117.4497
08d815c7-b66b-4e0f-86eb-cdf22f889a32,27,1777344534717604675,1777344534772603675,54.999,15.987072,4456.3022,7732.3545
