time,description,position X,position Y,position Z,yawAngle,speedInKmPerHour,speedInMetresPerSecond,localAccelInMetresPerSecond2 X,localAccelInMetresPerSecond2 Y,bodyRotSpeedInRadsPerSecond Yaw,bodyRotAccelInRadsPerSecond Yaw,steering,appliedSteering,rawSteering,steeringVelocity,turningCurvature,throttle,appliedThrottle,rawThrottle,brake,appliedBrake,rawBrake,lightState,road,distanceAlongRoad,offsetFromLaneCenter,standardDeviationFromLaneCenter,distanceToFrontVehicle,TTCToFrontVehicle,laneNumber,laneWidth,laneDirection X,laneDirection Y,laneDirection Z,leftLaneOverLap,rightLaneOverLap
0.0,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0002907719928771,8.07699980214238e-05,0.0,0,0.0,0.0,-0.0002689213724806,0.0,-0.0002689213724806,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.488111883401871,0.0,0.488111883401871,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.01,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0197261792038983,0.005479494223305,0.0,0,0.0,0.0,-0.0002689213724806,-1.8694280235376303e-09,-0.0002689213724806,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.491067178215303,3.42231557418508e-06,0.491067178215303,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.02,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96015192236,3.14159265358979,0.0511343548969018,0.0142039874713616,0.0,0,0.0,0.0,-0.0002689213724806,-6.96931961020781e-08,-0.0002689213724806,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.49230769276619,0.0001275856090797,0.49230769276619,,도로 1,500.000190984862,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39582249363168e-05,0,1,0.0,0.0
0.03,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96048159729,3.14159265358979,0.0917426369389685,0.0254840658163801,0.0,0,0.0,0.0,-0.0002689213724806,-2.048466110917e-07,-0.0002689213724806,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.49230769276619,0.0003750076175223,0.49230769276619,,도로 1,500.000520659791,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39597147844696e-05,0,1,0.0,0.0
0.04,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96081619005,3.14159265358979,0.13737910926863,0.0381608636857305,0.0,0,0.0,0.0,-0.0002689213724806,-5.23097472051078e-07,-0.0002689213724806,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.49230769276619,0.0009576215585175,0.49230769276619,,도로 1,500.00085525255,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39612279810296e-05,0,1,0.0,0.0
0.05,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96115417699,3.14159265358979,0.182590381473555,0.0507195504093209,0.0,0,0.0,0.0,-0.0002688113628923,-9.66490154392742e-07,-0.0002688113628923,-1.05420581881451e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.494169601975008,0.0017799093660246,0.494169601975008,,도로 1,500.001193239493,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3962755720615e-05,0,1,0.0,0.0
0.06,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96155970217,3.14159265358979,0.227148082432932,0.0630966895647033,0.0,0,0.0,0.0,-0.0002686394733911,-1.51462644835196e-06,-0.0002686394733911,-2.37565109273419e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.496503502130508,0.0027995573655039,0.496503502130508,,도로 1,500.001598764668,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39645886973954e-05,0,1,0.0,0.0
0.07,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96222607485,3.14159265358979,0.270068807598073,0.075019113221687,0.0,0,0.0,0.0,-0.000268470330426,-2.19621693248541e-06,-0.000268470330426,-2.37565109273419e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.496503502130508,0.0040618909554297,0.496503502130508,,도로 1,500.002265137348,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39676023694586e-05,0,1,0.0,0.0
0.08,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96316238303,3.14159265358979,0.311837750739521,0.0866215974276447,0.0,0,0.0,0.0,-0.0002684255887288,-3.04944187882583e-06,-0.0002684255887288,-2.37565109273419e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.496503502130508,0.0056405149964424,0.496503502130508,,도로 1,500.003201445531,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39718358816933e-05,0,1,0.0,0.0
0.09,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96420490483,3.14159265358979,0.352904087932841,0.0980289133146781,0.0,0,0.0,0.0,-0.0002683684544366,-4.02227559072536e-06,-0.0002683684544366,-2.37565109273419e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.497148388876752,0.0074544691003234,0.497148388876752,,도로 1,500.004243967332,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39765493944983e-05,0,1,0.0,0.0
