recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
f5aeacca-71ae-456a-9053-683be52add2b,1777341075392367342,696.8415,665.97284,-7.6838326,-5.5961924,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075397368342,698.61066,665.5856,-7.569584,-5.5719314,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075402363342,698.47546,668.47205,-7.579761,-5.757077,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075407363342,699.4108,655.76843,-7.5134263,-4.9422565,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075412363342,700.39655,659.98883,-7.4517975,-5.213381,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075417363342,700.48193,661.976,-7.4472146,-5.3409276,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075422488342,700.9062,662.0833,-7.419921,-5.347949,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075427488342,698.6078,662.00226,-7.56802,-5.342027,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075432488342,698.4618,657.5015,-7.5753417,-5.0531855,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075437488342,696.48047,657.3824,-7.7029505,-5.0449414,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075442490342,696.4306,659.28906,-7.7070484,-5.1672564,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075447488342,695.1143,660.1464,-7.7922754,-5.22185,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075452504342,689.0344,656.1017,-8.18202,-4.9604793,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075457488342,690.15826,651.8318,-8.107659,-4.6869645,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075462487342,690.00226,649.2788,-8.11658,-4.5231695,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075467487342,687.80414,656.17816,-8.261298,-4.9649873,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075472495342,690.0983,657.6046,-8.114217,-5.0572014,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075477487342,692.25507,653.6842,-7.9734597,-4.8064175,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075482487342,694.88495,654.4187,-7.8043923,-4.8543177,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075487487342,693.319,655.17053,-7.9056087,-4.902081,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075492487342,693.73004,652.0305,-7.877728,-4.7007613,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075497487342,694.4048,652.17267,-7.834336,-4.710078,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075502487342,694.569,649.36694,-7.822561,-4.530116,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075507491342,692.36334,648.0937,-7.9640546,-4.447812,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075512487342,692.1689,647.1764,-7.976192,-4.3889155,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075517487342,693.3831,650.7446,-7.8995094,-4.6181707,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075522503342,694.6612,650.4794,-7.8170896,-4.601512,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075527487342,696.1376,650.3239,-7.7219453,-4.5919495,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075532487342,692.8351,648.1092,-7.9336877,-4.4489393,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075537487342,694.45526,652.9182,-7.8314056,-4.75793,1.0,1,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075542493342,696.29956,652.0691,-7.712253,-4.7039785,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075547487342,700.6425,653.24115,-7.432994,-4.780415,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075552487342,708.0926,654.0533,-6.95331,-4.8345785,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075557612342,721.8128,659.8834,-6.071116,-5.2125745,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075562622342,756.85333,699.824,-3.8220234,-7.788348,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075567612342,785.6127,698.56445,-1.9595333,-7.712683,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075572612342,811.72034,722.47046,-0.26884988,-9.252495,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075577612342,857.82623,726.219,2.7264817,-9.490247,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075582612342,888.6404,735.8081,4.7338057,-10.09829,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075587612342,905.44794,764.7682,5.850214,-11.949333,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075592612342,935.52875,774.1338,7.8245893,-12.531204,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075597612342,947.51776,755.8898,8.584147,-11.355155,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075602618342,948.65436,769.4918,8.675754,-12.224556,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075607611342,948.6466,776.8401,8.685329,-12.694534,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075612612342,947.75183,776.07904,8.625797,-12.646565,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075617611342,949.6613,776.686,8.751426,-12.683872,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075622623342,948.8006,778.2149,8.69733,-12.78233,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075627611342,925.9296,770.26184,7.192974,-12.289737,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075632611342,943.58875,771.71545,8.347973,-12.37062,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075637611342,945.57544,771.1665,8.476981,-12.334017,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075642611342,948.89294,775.6258,8.699728,-12.616684,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075647622342,950.193,773.2437,8.781335,-12.4633255,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075652613342,952.08984,773.41364,8.905459,-12.472683,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075657611342,949.50275,775.66675,8.73963,-12.618821,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075662611342,948.686,773.09595,8.682707,-12.455054,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075667622342,948.1017,772.5933,8.643864,-12.423355,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075672611342,946.7365,776.4368,8.559948,-12.670239,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075677611342,942.5958,783.98456,8.299643,-13.15622,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075682611342,944.02075,781.9205,8.389992,-13.023087,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075687611342,941.92316,782.8837,8.254112,-13.086328,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075692741342,941.1123,782.6772,8.200782,-13.073747,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075697736342,944.35547,779.0133,8.40786,-12.836883,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075702736342,943.8344,775.6118,8.369187,-12.619702,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075707736342,939.83887,772.9263,8.104633,-12.450847,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075712740342,939.3248,772.13873,8.07006,-12.400823,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075717740342,934.97345,781.04614,7.797043,-12.973971,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075722736342,936.3453,774.05615,7.8778443,-12.525658,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075727736342,933.1231,772.3272,7.6652136,-12.417235,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075732736342,928.7583,779.3483,7.388434,-12.869674,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075737736342,929.93005,781.386,7.4675684,-12.999304,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075742736342,932.2816,781.3632,7.6213703,-12.996197,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075747736342,932.11206,777.9477,7.606016,-12.777705,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075752736342,934.1445,777.8999,7.738829,-12.773218,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075757736342,934.9882,778.4498,7.7946935,-12.807813,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075762736342,935.44666,779.61273,7.8261533,-12.8819065,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075767735342,936.3312,774.36304,7.8773046,-12.545308,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075772735342,935.2209,774.7228,7.805205,-12.5691185,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075777735342,936.94275,771.2258,7.9133406,-12.34409,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075782735342,936.7473,770.39185,7.8995504,-12.29085,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075787735342,933.24176,771.97974,7.6725492,-12.394908,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075792735342,932.6993,769.8269,7.634546,-12.257457,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075797735342,928.0928,774.2649,7.338874,-12.544673,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075802735342,928.812,779.20685,7.3917737,-12.860583,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075807735342,930.55914,781.4878,7.50885,-13.005383,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075812735342,930.0468,781.8019,7.4757237,-13.0258465,1.0,2,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075817735342,930.1629,781.3703,7.482779,-12.9981365,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075822860342,928.3074,781.2718,7.361277,-12.993116,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075827860342,928.67395,778.4041,7.3817744,-12.809288,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075832748342,898.13745,787.93787,5.393267,-13.438212,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075837860342,881.81665,800.4647,4.333618,-14.248812,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075842860342,869.7835,815.0418,3.5533717,-15.187936,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075847866342,851.8699,843.36163,2.3883872,-17.00827,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075852860342,838.67645,816.093,1.5051141,-15.263287,1.0,,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075857869342,845.2465,822.8875,1.9406753,-15.697782,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075862866342,847.88403,824.8328,2.115528,-15.821935,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075867860342,848.37146,829.718,2.1499796,-16.13492,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075872860342,848.7187,834.94995,2.1754494,-16.47012,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075877860342,849.7245,836.3578,2.242665,-16.560087,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075882860342,848.7552,832.719,2.1767676,-16.327156,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075887860342,847.95013,832.848,2.1236286,-16.335606,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075892860342,850.1692,830.929,2.2693233,-16.212116,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075897859342,845.5946,828.7551,1.9661518,-16.073805,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075902872342,847.39557,832.8406,2.086971,-16.33525,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075907859342,846.1294,837.7102,2.0055006,-16.647568,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075912859342,843.95764,831.8062,1.859314,-16.269667,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075917859342,840.9423,828.1052,1.6586908,-16.033007,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075922859342,842.0801,827.84485,1.7337136,-16.016123,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075927859342,842.4919,821.5615,1.75848,-15.613286,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075932859342,844.00354,821.4269,1.8581119,-15.604386,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075937859342,844.26086,820.0648,1.8745316,-15.517021,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075942859342,841.7333,827.3646,1.7106345,-15.985401,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075947863342,842.57184,828.1082,1.7662799,-16.032919,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075952859342,843.57086,826.5877,1.8316312,-15.935281,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075957984342,845.3669,824.56433,1.9493222,-15.805242,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075962984342,843.3209,821.7004,1.8132033,-15.622042,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075967984342,843.8936,820.03345,1.8503118,-15.515075,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075972984342,846.1397,815.5726,1.9965051,-15.228657,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075977984342,852.7353,812.9107,2.4296007,-15.056543,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075982984342,845.90265,813.4514,1.9800239,-15.092702,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075987984342,845.5039,815.7841,1.9547181,-15.242345,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075992984342,841.18756,805.77814,1.6669759,-14.601448,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341075997984342,842.2417,806.92993,1.736678,-14.675145,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076002986342,842.8318,807.02234,1.7755144,-14.680979,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076007984342,843.83276,806.65186,1.8412004,-14.657045,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076012984342,843.59015,806.81683,1.8253065,-14.667673,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076017984342,841.8805,807.53345,1.7131343,-14.713914,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076022990342,844.67377,805.46423,1.8960536,-14.580739,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076027984342,845.30566,805.8813,1.9377519,-14.607369,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076032983342,840.10315,811.0177,1.5973899,-14.937636,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076037983342,841.8818,811.29535,1.7145345,-14.955163,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076042983342,842.8168,808.4607,1.7750431,-14.773227,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076047983342,846.0978,808.95703,1.9910547,-14.804468,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076052983342,842.2402,827.707,1.7442253,-16.007257,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076057983342,843.84015,822.3312,1.8476958,-15.662388,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076062983342,840.00244,819.26337,1.5935309,-15.466361,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076067983342,847.835,805.8508,2.1040328,-14.604931,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076072983342,844.9352,810.94727,1.9153489,-14.932316,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076077983342,842.67255,812.99066,1.7671952,-15.063743,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076082992342,843.4702,809.2695,1.8183192,-14.82498,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076087983342,843.6565,809.97015,1.8308389,-14.869881,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076092995342,841.84375,809.7906,1.7115088,-14.858673,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076098111342,844.08826,807.70483,1.8583919,-14.724535,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076103108342,842.7637,806.3574,1.7708015,-14.638345,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076108111342,844.29846,807.7074,1.8722162,-14.724665,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076113113342,845.06537,807.75446,1.9226708,-14.72754,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076118108342,846.74365,807.6115,2.0329921,-14.71806,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076123108342,848.9046,807.988,2.1752717,-14.74176,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076128108342,849.3965,807.7085,2.2074966,-14.723736,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076133108342,845.6188,808.3563,1.9593079,-14.766035,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076138108342,844.1688,803.6498,1.8621895,-14.464448,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076143114342,849.0638,804.8835,2.1844037,-14.54264,1.0,3,
f5aeacca-71ae-456a-9053-683be52add2b,1777341076148111342,843.0542,811.0565,1.7916063,-14.9396515,1.0,3,
