recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
f5aeacca-71ae-456a-9053-683be52add2b,2,1777341075542493342,1777341075602618342,60.125,18.189318,4449.2964,7622.7583
f5aeacca-71ae-456a-9053-683be52add2b,3,1777341075817735342,1777341075857869342,40.134,6.228327,2426.6658,3590.389
f5aeacca-71ae-456a-9053-683be52add2b,4,1777341076298232342,1777341076333236342,35.004,6.2510324,2891.1206,3496.3828
f5aeacca-71ae-456a-9053-683be52add2b,5,1777341076598480342,1777341076743604342,145.124,27.259226,3787.4255,7117.5415
f5aeacca-71ae-456a-9053-683be52add2b,6,1777341076928852342,1777341076968852342,40.0,5.926086,2345.6323,3192.8723
f5aeacca-71ae-456a-9053-683be52add2b,7,1777341077699597342,1777341077759597342,60.0,14.453345,3963.0322,6800.3145
f5aeacca-71ae-456a-9053-683be52add2b,8,1777341077944721342,1777341077999845342,55.124,13.097906,3777.943,6290.6567
f5aeacca-71ae-456a-9053-683be52add2b,9,1777341078400218342,1777341078530341342,130.123,1.1371593,1653.7753,3203.732
f5aeacca-71ae-456a-9053-683be52add2b,10,1777341079421095342,1777341079546210342,125.115,2.1349094,2026.7035,3357.3694
f5aeacca-71ae-456a-9053-683be52add2b,11,1777341079846583342,1777341079876583342,30.0,2.768511,1453.4332,1803.1902
f5aeacca-71ae-456a-9053-683be52add2b,12,1777341080031706342,1777341080086706342,55.0,15.321736,4395.663,6887.2583
f5aeacca-71ae-456a-9053-683be52add2b,13,1777341080191830342,1777341080221830342,30.0,1.9981132,1122.2289,1466.0707
f5aeacca-71ae-456a-9053-683be52add2b,14,1777341080472078342,1777341080502203342,30.125,3.0419781,1488.7542,2031.5262
f5aeacca-71ae-456a-9053-683be52add2b,15,1777341080742327342,1777341080797451342,55.124,15.049408,4345.378,7467.284
f5aeacca-71ae-456a-9053-683be52add2b,16,1777341081227823342,1777341081322954342,95.131,1.1551383,1586.1178,3094.4617
f5aeacca-71ae-456a-9053-683be52add2b,17,1777341081848444342,1777341081908444342,60.0,13.978976,3729.842,6661.8076
f5aeacca-71ae-456a-9053-683be52add2b,18,1777341082498941342,1777341082559065342,60.124,15.498828,4064.002,7132.6167
f5aeacca-71ae-456a-9053-683be52add2b,19,1777341082839313342,1777341082884312342,44.999,7.39852,2588.105,3884.547
f5aeacca-71ae-456a-9053-683be52add2b,20,1777341083074568342,1777341083114561342,39.993,5.7667837,2280.333,3229.8438
f5aeacca-71ae-456a-9053-683be52add2b,21,1777341083595058342,1777341083625057342,29.999,2.4708498,1282.1676,1494.2977
f5aeacca-71ae-456a-9053-683be52add2b,22,1777341084025430342,1777341084075430342,50.0,14.5841465,4609.0254,7579.885
f5aeacca-71ae-456a-9053-683be52add2b,23,1777341084555926342,1777341084605926342,50.0,12.182216,3841.8315,6274.2617
f5aeacca-71ae-456a-9053-683be52add2b,24,1777341084851174342,1777341084881174342,30.0,2.123657,1122.9996,1302.0718
f5aeacca-71ae-456a-9053-683be52add2b,25,1777341085206547342,1777341085301546342,94.999,0.2353709,1920.8525,3543.899
f5aeacca-71ae-456a-9053-683be52add2b,26,1777341086152416342,1777341086207416342,55.0,15.28889,3861.856,7167.4165
f5aeacca-71ae-456a-9053-683be52add2b,27,1777341086557788342,1777341086612788342,55.0,14.064188,3800.7705,6853.249
f5aeacca-71ae-456a-9053-683be52add2b,28,1777341086853036342,1777341086963162342,110.126,1.9900467,1766.7885,3477.2437
f5aeacca-71ae-456a-9053-683be52add2b,29,1777341087728906342,1777341087768905342,39.999,4.1812205,1643.4357,2407.341
f5aeacca-71ae-456a-9053-683be52add2b,30,1777341088004154342,1777341088179278342,175.124,0.70143074,1779.9222,3755.2715
f5aeacca-71ae-456a-9053-683be52add2b,31,1777341088259402342,1777341088314402342,55.0,15.86838,4535.904,7696.5728
f5aeacca-71ae-456a-9053-683be52add2b,32,1777341088744774342,1777341088799898342,55.124,14.676632,3950.0732,7388.2334
f5aeacca-71ae-456a-9053-683be52add2b,33,1777341089160151342,1777341089270271342,110.12,0.74759644,1839.2437,3660.478
f5aeacca-71ae-456a-9053-683be52add2b,34,1777341090066015342,1777341090091015342,25.0,1.5376159,1004.9884,1081.56
f5aeacca-71ae-456a-9053-683be52add2b,35,1777341090401394342,1777341090431390342,29.996,2.41665,1253.4415,1526.0223
f5aeacca-71ae-456a-9053-683be52add2b,36,1777341090596512342,1777341090651512342,55.0,14.741699,4241.7793,6966.5957
f5aeacca-71ae-456a-9053-683be52add2b,37,1777341091001884342,1777341091062009342,60.125,14.900814,3995.9023,7161.9927
f5aeacca-71ae-456a-9053-683be52add2b,38,1777341091357257342,1777341091492381342,135.124,1.2597286,1670.7245,3123.495
f5aeacca-71ae-456a-9053-683be52add2b,39,1777341091727630342,1777341091752629342,24.999,2.2887523,1429.5098,1844.9644
f5aeacca-71ae-456a-9053-683be52add2b,40,1777341092828623342,1777341092973747342,145.124,0.33621496,1377.2844,2516.3635
f5aeacca-71ae-456a-9053-683be52add2b,41,1777341094239869342,1777341094264873342,25.004,2.3022108,1516.9788,1752.9609
f5aeacca-71ae-456a-9053-683be52add2b,42,1777341094405113342,1777341094525112342,119.999,1.3255911,1313.0159,2282.0989
f5aeacca-71ae-456a-9053-683be52add2b,43,1777341094790360342,1777341094810485342,20.125,1.1161135,865.5942,931.6542
f5aeacca-71ae-456a-9053-683be52add2b,44,1777341095245864342,1777341095270857342,24.993,1.6459266,1033.323,1257.2397
f5aeacca-71ae-456a-9053-683be52add2b,45,1777341095806354342,1777341095846357342,40.003,4.886477,1905.8788,2651.606
f5aeacca-71ae-456a-9053-683be52add2b,46,1777341096086602342,1777341096131602342,45.0,4.976323,1727.5775,2570.1357
f5aeacca-71ae-456a-9053-683be52add2b,47,1777341096957471342,1777341097092596342,135.125,1.8505726,1761.6072,3427.3293
f5aeacca-71ae-456a-9053-683be52add2b,48,1777341097212720342,1777341097247720342,35.0,3.4464698,1553.7825,2066.9211
f5aeacca-71ae-456a-9053-683be52add2b,49,1777341097447843342,1777341097492980342,45.137,8.510197,2991.0435,4514.291
f5aeacca-71ae-456a-9053-683be52add2b,50,1777341097763216342,1777341097808216342,45.0,6.585321,2140.377,3484.7449
f5aeacca-71ae-456a-9053-683be52add2b,51,1777341098333725342,1777341098393712342,59.987,14.156242,3768.5989,7124.8545
f5aeacca-71ae-456a-9053-683be52add2b,52,1777341098929209342,1777341098974334342,45.125,13.406463,4678.807,6960.513
f5aeacca-71ae-456a-9053-683be52add2b,53,1777341099364706342,1777341099414706342,50.0,14.370018,4151.3184,7374.3193
f5aeacca-71ae-456a-9053-683be52add2b,54,1777341099940213342,1777341099990202342,49.989,14.380078,4496.923,7050.0483
f5aeacca-71ae-456a-9053-683be52add2b,55,1777341100280455342,1777341100405575342,125.12,0.9676103,1643.2007,3475.2173
f5aeacca-71ae-456a-9053-683be52add2b,56,1777341100685831342,1777341100710948342,25.117,2.1858075,1360.2568,1643.8928
f5aeacca-71ae-456a-9053-683be52add2b,57,1777341101331444342,1777341101366569342,35.125,2.6613526,1216.278,1539.1095
f5aeacca-71ae-456a-9053-683be52add2b,58,1777341101791941342,1777341101922065342,130.124,1.0625209,1827.6987,4439.8267
f5aeacca-71ae-456a-9053-683be52add2b,59,1777341102097200342,1777341102147189342,49.989,14.543681,4557.4287,7257.026
f5aeacca-71ae-456a-9053-683be52add2b,60,1777341102532561342,1777341102582686342,50.125,13.659452,4275.363,6685.4814
f5aeacca-71ae-456a-9053-683be52add2b,61,1777341103573555342,1777341103718679342,145.124,1.0884695,1718.8356,3179.0874
f5aeacca-71ae-456a-9053-683be52add2b,62,1777341104219180342,1777341104244176342,24.996,1.6561465,1025.5623,1160.3484
f5aeacca-71ae-456a-9053-683be52add2b,63,1777341104839797342,1777341104869797342,30.0,3.151035,1639.6412,2072.1155
f5aeacca-71ae-456a-9053-683be52add2b,64,1777341105550419342,1777341105585420342,35.001,5.964466,2672.1382,3546.866
f5aeacca-71ae-456a-9053-683be52add2b,65,1777341105800666342,1777341105915790342,115.124,0.66285485,1875.7137,3529.7178
f5aeacca-71ae-456a-9053-683be52add2b,66,1777341106446287342,1777341106466287342,20.0,1.4950551,1165.7013,1303.3531
f5aeacca-71ae-456a-9053-683be52add2b,67,1777341106891659342,1777341106931659342,40.0,7.7378926,3021.2356,4313.794
f5aeacca-71ae-456a-9053-683be52add2b,68,1777341107312032342,1777341107362031342,49.999,8.020818,2542.8943,4109.1196
f5aeacca-71ae-456a-9053-683be52add2b,69,1777341108528149342,1777341108668273342,140.124,0.33771586,1662.5164,3357.7354
f5aeacca-71ae-456a-9053-683be52add2b,70,1777341109699267342,1777341109749266342,49.999,13.098324,4142.923,6637.2573
f5aeacca-71ae-456a-9053-683be52add2b,71,1777341110269763342,1777341110319888342,50.125,14.802072,4665.4575,7217.1143
