recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1,1777343734587950606,1777343734783074606,195.124
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,2,1777343736895061606,1777343737105196606,210.135
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,3,1777343743291021606,1777343743566269606,275.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,4,1777343746924375606,1777343747149622606,225.247
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,5,1777343748230616606,1777343748455739606,225.123
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,6,1777343752304340606,1777343752514589606,210.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,7,1777343752964961606,1777343753255209606,290.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,8,1777343756047818606,1777343756288066606,240.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,9,1777343762343654606,1777343762598903606,255.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,10,1777343765221387606,1777343765426519606,205.132
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,11,1777343770766479606,1777343771041727606,275.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,12,1777343774419956606,1777343774645083606,225.127
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,13,1777343778183442606,1777343778398566606,215.124
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,14,1777343781716662606,1777343782032036606,315.374
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,15,1777343790374735606,1777343790634984606,260.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,16,1777343792211474606,1777343792461723606,250.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,17,1777343796605581606,1777343796825696606,220.115
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,18,1777343796905821606,1777343797211069606,305.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,19,1777343804638024606,1777343804923272606,285.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,20,1777343807815880606,1777343808101253606,285.373
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,21,1777343810583488606,1777343810888737606,305.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,22,1777343811394233606,1777343811729609606,335.376
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,23,1777343811924729606,1777343812265103606,340.374
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,24,1777343812285102606,1777343812590350606,305.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,25,1777343812645475606,1777343812995723606,350.248
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,26,1777343813075847606,1777343813391096606,315.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,27,1777343813621354606,1777343813941592606,320.238
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,28,1777343815813338606,1777343816088579606,275.241
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,29,1777343819311559606,1777343819566808606,255.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,30,1777343823771338606,1777343824051594606,280.256
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,31,1777343827654963606,1777343827945212606,290.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,32,1777343829942087606,1777343830297462606,355.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,33,1777343830447587606,1777343830762837606,315.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,34,1777343831293346606,1777343831568587606,275.241
