recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1,1777343733616956606,1777343734252577606,635.621,640.1295166015625,619.8174438476562,-11.310888,-2.6232364
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,2,1777343734302702606,1777343734597950606,295.248,770.921875,543.423828125,-2.8968744,2.2774377
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,3,1777343734768074606,1777343734963323606,195.249,501.6713562011719,550.6558227539062,-20.169882,1.7689848
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,4,1777343735028322606,1777343735769068606,740.746,770.2080688476562,476.95806884765625,-2.952636,6.5555196
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,5,1777343735809068606,1777343736464688606,655.62,700.8120727539062,517.3841552734375,-7.4169974,3.9425285
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,6,1777343736584813606,1777343736885061606,300.248,845.1072387695312,860.578369140625,1.9486256,-18.112658
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,7,1777343737025185606,1777343738771799606,1746.614,678.5203247070312,433.4530334472656,-8.910227,9.312552
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,8,1777343738826803606,1777343739802792606,975.989,886.4357299804688,514.4483032226562,4.552628,4.1408567
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,9,1777343739862792606,1777343740118056606,255.264,666.8975219726562,441.7369079589844,-9.654185,8.775126
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,10,1777343740178177606,1777343740613537606,435.36,882.0408935546875,514.3497924804688,4.2691345,4.1477823
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,11,1777343740668537606,1777343742210027606,1541.49,679.4476928710938,444.0710144042969,-8.840081,8.633604
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,12,1777343742260027606,1777343742885648606,625.621,882.7530517578125,506.0450744628906,4.3170276,4.6820397
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,13,1777343742990772606,1777343743296021606,305.249,670.9321899414062,442.1959228515625,-9.392739,8.748372
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,14,1777343743461144606,1777343744066766606,605.622,687.25830078125,426.04803466796875,-8.351278,9.792039
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,15,1777343744086778606,1777343744697273606,610.495,713.115966796875,421.1302185058594,-6.6778755,10.122094
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,16,1777343744747388606,1777343745192759606,445.371,886.832275390625,492.8335266113281,4.584122,5.5312304
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,17,1777343745247759606,1777343745998504606,750.745,677.7892456054688,448.05810546875,-8.943743,8.377432
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,18,1777343746018504606,1777343746654125606,635.621,707.1234741210938,443.5673828125,-7.0492125,8.680713
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,19,1777343746674125606,1777343746944373606,270.248,682.3480834960938,438.01641845703125,-8.657961,9.022891
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,20,1777343747069501606,1777343747479879606,410.378,688.8037719726562,433.8663330078125,-8.243703,9.292459
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,21,1777343747519869606,1777343747795243606,275.374,751.2069091796875,438.7346496582031,-4.1952114,9.008226
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,22,1777343747830243606,1777343748225615606,395.372,664.5175170898438,475.80755615234375,-9.777511,6.5943084
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,23,1777343748415739606,1777343749461735606,1045.996,696.9031982421875,448.573486328125,-7.7069936,8.35479
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,24,1777343749486733606,1777343749862105606,375.372,673.9682006835938,451.0584716796875,-9.1880865,8.183181
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,25,1777343749922105606,1777343750427612606,505.507,886.29638671875,503.5141906738281,4.5463924,4.8443184
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,26,1777343750487726606,1777343752309340606,1821.614,682.0877685546875,455.4427185058594,-8.659559,7.907043
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,27,1777343752444464606,1777343752974961606,530.497,688.019287109375,446.9259033203125,-8.283059,8.455685
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,28,1777343753190217606,1777343753575582606,385.365,697.1609497070312,441.640625,-7.6957583,8.799182
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,29,1777343753605582606,1777343753955955606,350.373,739.9547729492188,439.80572509765625,-4.924327,8.935752
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,30,1777343753990955606,1777343754621576606,630.621,676.8638916015625,459.3780517578125,-8.993849,7.652277
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,31,1777343754681576606,1777343755177073606,495.497,903.6713256835938,493.09686279296875,5.6715565,5.510808
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,32,1777343755232072606,1777343756052817606,820.745,698.1646728515625,453.0870056152344,-7.6220193,8.066125
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,33,1777343756223066606,1777343759946419606,3723.353,703.3264770507812,442.7359924316406,-7.2956867,8.73215
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,34,1777343760046544606,1777343761903282606,1856.738,707.3018798828125,447.15252685546875,-7.0351014,8.450924
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,35,1777343761923282606,1777343762053406606,130.124,756.6192016601562,432.6348571777344,-3.846694,9.401639
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,36,1777343762088406606,1777343762353654606,265.248,682.1867065429688,459.6986389160156,-8.649765,7.634539
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,37,1777343762523903606,1777343764030269606,1506.366,685.5794067382812,450.9775390625,-8.437503,8.194867
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,38,1777343764105394606,1777343764385649606,280.255,909.953125,508.17657470703125,6.071546,4.5401835
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,39,1777343764485641606,1777343765236387606,750.746,494.453857421875,595.4639282226562,-20.626883,-1.0482632
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,40,1777343765376511606,1777343768279243606,2902.732,707.5745239257812,448.65435791015625,-7.0164003,8.354742
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,41,1777343768304243606,1777343768579494606,275.251,710.2267456054688,450.62713623046875,-6.8434258,8.229428
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,42,1777343768639491606,1777343769024864606,385.373,916.1261596679688,513.0293579101562,6.4680796,4.227047
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,43,1777343769079988606,1777343769800609606,720.621,703.132080078125,454.7546081542969,-7.299587,7.9615483
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,44,1777343769855734606,1777343770225982606,370.248,903.9984741210938,512.2813110351562,5.6861186,4.2774467
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,45,1777343770326106606,1777343770656479606,330.373,694.2180786132812,476.5373840332031,-7.8612604,6.5609975
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,46,1777343770676479606,1777343770791603606,115.124,711.2177734375,452.58795166015625,-6.778006,8.1040945
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,47,1777343770966727606,1777343774439957606,3473.23,715.6288452148438,449.9520263671875,-6.4942527,8.275074
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,48,1777343774600080606,1777343775530950606,930.87,713.4188232421875,457.13189697265625,-6.632762,7.8135176
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,49,1777343775590949606,1777343776001322606,410.373,917.0059814453125,497.3216857910156,6.5307603,5.236098
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,50,1777343776056447606,1777343777748066606,1691.619,697.9451904296875,456.8122863769531,-7.633535,7.8272257
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,51,1777343777818061606,1777343778183442606,365.381,505.7809143066406,494.1537780761719,-19.956247,5.3249927
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,52,1777343778368562606,1777343778854055606,485.493,716.9285888671875,442.8128662109375,-6.414729,8.733619
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,53,1777343778874055606,1777343779564675606,690.62,693.9476928710938,452.50823974609375,-7.8951654,8.1011505
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,54,1777343779589675606,1777343780240296606,650.621,716.8878173828125,439.3594055175781,-6.4196877,8.955115
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,55,1777343780275296606,1777343781136166606,860.87,688.9376220703125,458.1919250488281,-8.214736,7.7344646
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,56,1777343781171166606,1777343781481420606,310.254,748.1383666992188,416.39752197265625,-4.405424,10.441405
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,57,1777343781516539606,1777343781731662606,215.123,703.3255615234375,454.892822265625,-7.2869782,7.952771
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,58,1777343781956911606,1777343784574395606,2617.484,686.9110107421875,455.6371154785156,-8.347679,7.897112
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,59,1777343784679401606,1777343785325016606,645.615,426.0325622558594,513.6849975585938,-25.032185,4.0442915
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,60,1777343785375140606,1777343785660389606,285.249,470.94970703125,596.226806640625,-22.127537,-1.0923042
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,61,1777343785765523606,1777343786391009606,625.486,698.8282470703125,466.5742492675781,-7.569871,7.201758
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,62,1777343786476134606,1777343786776382606,300.248,380.6654052734375,541.0136108398438,-27.902925,2.3270316
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,63,1777343786851507606,1777343787041630606,190.123,682.8253173828125,488.4576416015625,-8.58884,5.7923346
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,64,1777343787081630606,1777343787492003606,410.373,721.1671142578125,475.2628173828125,-6.122151,6.652611
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,65,1777343787532127606,1777343789193617606,1661.49,677.3406982421875,484.71209716796875,-8.944631,6.0301003
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,66,1777343789213623606,1777343790399735606,1186.112,705.9268188476562,471.7944641113281,-7.1082253,6.8698244
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,67,1777343790599984606,1777343790830108606,230.124,711.2361450195312,474.6164245605469,-6.763813,6.6907163
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,68,1777343790850232606,1777343792221474606,1371.242,687.0921630859375,482.16986083984375,-8.317517,6.19703
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,69,1777343792426598606,1777343792821984606,395.386,710.6881713867188,459.7828063964844,-6.8077173,7.6423254
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,70,1777343792841970606,1777343794378461606,1536.491,711.5601196289062,459.8635559082031,-6.751293,7.6374965
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,71,1777343794413463606,1777343794723709606,310.246,770.3478393554688,410.1903076171875,-2.9632843,10.846934
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,72,1777343794758834606,1777343795284331606,525.497,693.173583984375,453.66485595703125,-7.9443426,8.026647
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,73,1777343795304331606,1777343795954952606,650.621,714.1243286132812,459.0727233886719,-6.5859685,7.689276
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,74,1777343796009951606,1777343796295200606,285.249,907.2137451171875,530.0219116210938,5.8887634,3.1362314
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,75,1777343796350324606,1777343796605581606,255.257,693.6617431640625,461.34783935546875,-7.907173,7.5345044
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,76,1777343796750697606,1777343796900821606,150.124,711.2723999023438,462.8705139160156,-6.7680817,7.444462
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,77,1777343797136069606,1777343798106939606,970.87,667.1465454101562,463.3244323730469,-9.617991,7.394424
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,78,1777343798161951606,1777343799262932606,1100.981,822.6246948242188,533.4964599609375,0.43498057,2.9184031
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,79,1777343799318056606,1777343799773429606,455.373,674.8486328125,470.33538818359375,-9.115331,6.949703
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,80,1777343799823553606,1777343801174795606,1351.242,818.8505249023438,521.8899536132812,0.19181219,3.6661313
