recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271927980946,691.57043,804.6843,-8.159664,-14.475117,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271932975946,691.8628,805.2438,-8.141312,-14.511126,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271937975946,694.4698,808.1482,-7.9745116,-14.699044,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271942981946,694.22284,804.7865,-7.985877,-14.483995,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271947975946,694.87524,805.66003,-7.944336,-14.5404,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271952977946,697.13196,804.1623,-7.7942224,-14.446621,1.0,8,
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271957975946,696.63464,807.533,-7.8315697,-14.661642,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271962975946,696.2547,808.4662,-7.8578315,-14.720949,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271967975946,694.9226,807.0074,-7.9431543,-14.626542,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271972975946,691.1209,807.27545,-8.192962,-14.640278,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271977982946,690.09937,808.6098,-8.261981,-14.724589,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271982975946,683.9282,809.9246,-8.668971,-14.802747,1.0,8,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271987975946,683.03284,812.82715,-8.73241,-14.987217,1.0,,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271992975946,689.24506,803.14777,-8.309867,-14.374849,1.0,,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344271997975946,690.3853,803.11505,-8.235077,-14.373784,1.0,,3
d9c1120c-05d9-4559-9b36-0867c9eb36ef,1777344272002975946,697.2046,807.3919,-7.7939763,-14.653118,1.0,,3
